order_sk,order_id,user_id,final_total_amount,finish_time,finish_time_hour
5395,"2305091598695793500	",205059,694.42,2020-05-09,10
5397,"2305092575700190127	",205166,85.63,2020-05-09,24
5398,"2305096820889485649	",205125,108.77,2020-05-09,15
5399,"2305097014867657060	",205169,127.29,2020-05-09,19
5401,"2305099892990673536	",205160,23.13,2020-05-09,7
7170,"2307221339431240214	",205160,0.02,2020-05-12,23
7171,"2307221339431240214	",205160,0.02,2020-05-12,19
5402,"2305100094979965590	",205167,30.07,2020-05-09,2
5403,"2305100796745745103	",205171,115.72,2020-05-09,12
5404,"2305100986412171998	",200152,335.63,2020-05-09,3
5405,"2305100986412171998	",200152,37.01,2020-05-09,21
5406,"2305102689635140451	",200482,42.8,2020-05-09,7
5407,"2305104286465392647	",205175,25.44,2020-05-09,17
5408,"2305104290022162441	",201171,6.92,2020-05-09,16
5420,"2305116652213108822	",201171,29.14,2020-05-09,12
6154,"2306009804889391751	",201171,856.23,2020-05-10,12
8968,"2308934941162865167	",201171,196.27,2020-05-14,6
9013,"2308969586902434784	",201171,18.5,2020-05-14,10
5409,"2305104780235636789	",204086,740.72,2020-05-09,1
5410,"2305105848625528987	",205168,32.38,2020-05-09,7
9902,"2310819567653355685	",205168,324.05,2020-05-17,16
5411,"2305106071762501801	",205124,1157.38,2020-05-09,13
5413,"2305107963225833808	",200051,20.81,2020-05-09,7
5414,"2305108872248951215	",202494,509.24,2020-05-09,5
5415,"2305111801039159965	",204165,12.71,2020-05-09,20
5416,"2305112115385467575	",202350,925.67,2020-05-09,23
5418,"2305113499849720636	",201981,418.96,2020-05-09,20
5419,"2305115340301927396	",201579,324.05,2020-05-09,1
5421,"2305116737894350939	",205151,995.35,2020-05-09,15
5422,"2305116737894350939	",205151,34.7,2020-05-09,22
5423,"2305116773126504546	",200016,50.9,2020-05-09,7
5831,"2305719126066200583	",200016,50.9,2020-05-10,2
5425,"2305117566781096102	",205179,74.05,2020-05-09,10
5426,"2305118632906064139	",201172,9.24,2020-05-09,10
5427,"2305118640153821452	",200039,1618.73,2020-05-09,5
5430,"2305119648439337333	",203746,185.16,2020-05-09,20
8250,"2308156675489530734	",203746,185.16,2020-05-13,7
5431,"2305119911271203219	",200392,254.61,2020-05-09,11
5618,"2305278018655879643	",200392,856.46,2020-05-09,13
5432,"2305124508924642121	",205181,101.83,2020-05-09,17
5434,"2305125924166697905	",200909,0.23,2020-05-09,8
5435,"2305125993439822781	",205183,138.63,2020-05-09,17
6989,"2306843947063836924	",205183,78.68,2020-05-11,11
7095,"2307144688534028441	",205183,78.68,2020-05-12,1
5437,"2305127898425589870	",200544,254.61,2020-05-09,22
5439,"2305130245457445186	",205178,41.64,2020-05-09,3
5440,"2305130245457445186	",205178,34,2020-05-09,17
5441,"2305130282090496325	",201396,28.91,2020-05-09,2
8950,"2308908709658493412	",201396,12.71,2020-05-14,1
